name,website,email,phone,address,programs
ABCL Safety Consultants (Training),https://tec.gov.ae/en/,shifin@abclsafety.com,97142999785,"Al Mashora Building, Office# 116","Occupational Safety and Firefighting Training; Scaffolding Inspector; Scaffolding Erector And Dismantling; Scaffolding Supervisor; Rigging And Slinging; Confined Space Entry Safety Training; Electrical Safety Training; Working At Height -Safety Training; General Safety Awareness Training; Hot Work Training; Wheel Loader Operator; Flagman Training; Road Construction Safety; Lifting Supervisor; Safe Use Of Ladder Training; Welding Safety Training; Heat Emergencies Of Workers; Defensive Driving; Hoist Operator; Excavator Operator; Forklift Operator; EOT Crane Operator; Back Hoe Loader Operator; Skid Steer Loader Operator; Tower Crane Operator; Mobile Crane Operator; Cradle Operator; Piling Rig Operator; Boom Loader Operator; Mobile Elevating Working Platform Operator; Safe Use Of Stacker And Material Handling; Basic Explosive Awareness Training; Incident Investigating And Reporting Training; Safe Erection And Dismantling Of Tower Crane; Radiation Safety Awareness Training; Usage Of Personal Protective Equipments; Health And Safety Management Training; Block Cutting Operator; Management Training; Nail Gun Operator; Hand And Power Tools Safety; Dewatering Pump Operator; Earth Moving Equipement Operator; Mobile Road Construction Equipment Operator Safety Training; Horizontal Directional Drilling Machine Operator; Horizontal Directional Drilling Locator Safety Training; Gas Tester Training; HDPE Welder Safety Training; Lorry Loader Operator Training; Puller Machine Operator; Pusher Machine Operator; Risk Assessment Training; Mock Drill Training; Winch Machine Operator Training; Behavioral Safety Training; Working At Height -Safety Training In OHL Works; Work At Height Rescue Training (OHL); Work At Height Rescue Training; Safety Data Sheet (SDS); Hazard Communication Training; Hazard Identification And Risk Assessment Training; Confined Space Rescue Safety Training; Excavation Safety Training; Shoring Safety Training; Banksman Training; Compressed Gas Cylinder Safety; Crawler Crane Operator; Dozer Machine Operator; Grader Machine Operator; Piling Machine Operator; Sand Blasting Machine Operator; Air Compressor Operator; CNC Machine Operator; Grooving Saw Machine Operator; Cutting Machine Operator; Crimping Machine Operator; Lock Out Tag Out (LOTO); Authorized Gas Tester; H2S Awareness; Manual Handling; Ergnomic Awareness; Traffic Pilot Safety; Permit To Work; Window Cradle Operator; Dangerous Goods Handling; Spray Paint Machine Operator; Construction Site Safety; Accident And Incident Investigation; Preparation for Internal Auditor For Iso 9001:2015; Preparation for Internal Auditor For Iso 14001: 2015; Preparation for Internal Auditor For Iso 45000: 2018; Brazing And Soldering; Disability Awareness; Housekeeping Safety; Rigger - 1 Training; Rigger - 2 Training; Boiler Operator; Wire Rope Socketing; Mobile Crane Inspector; Tower Crane Inspector; Window Cradle Inspector; Forklift Inspector; Constrction Hoist Inspector; Construction Hoist Operator; Mobile Elevating Working Platform Inspector; Elevator Inspector; Escalator Inspector; Chain Block Inspector; Shackle Inspector; Webbing Sling Inspector; Wire Rope Sling Inspector; Chain Sling Inspector; Spreader Beam Inspector; Clamp Inspector; Eye Bolt Inspector; Loader Inspector; Skid Steer Loader Inspector; Back Hoe Loader Inspector; Excavator Inspector; Scaffold Inspector; False Work Inspector; Mobile Scaffold Inspector; Air Reciever/ Compressor Inspector; Boiler Inspector; Vehicle Lift Inspector; Risk Assessment Training- Third Party Inspector; Inspection Engineers Training; Personal Protective Equipment Inspectors; OCCUPATIONAL SAFETY TRAINING; INDUSTRIAL SAFETY TRAINING; CHEMICAL HANDLING SAFETY TRINING; PAINT BOOTH OPERATOR TRAINING; WIRE ROPE SOCKETING OPERATOR; REACH TRUCK OPERATOR; STEAM BOILER OPERATOR; WORKSHOP SAFETY; SELF- CONTAINED BREATHING APPARATUS (SCBA); WATER JET CUTTING MACHINE OPERATION; DIESEL ENGINE DRIVEN SPUD WINCH OPERATION; EMERGENCY RESPONSE; SHREDDING MACHINE OPERATION; CONCRETE SPRAY MACHINE OPERATOR; DRILL RIG OPERATOR; BENDING MACHINE OPERATOR; MILLING MACHINE OPERATION; TRUCK MOUNTED TAIL LIFT OPERATOR; VNA OPERATOR TRAININIG; WOOD CUTTING MACHINE OPERATOR; ABRASIVE WHEEL OPERATOR; HYDRA CRANE OPERATOR; BASIC OCCUPATIONAL HEALTH AND SAFETY; HAZARD IDENTIFICATION & RISK ASSESSMENT; ORDERPICKER OPERATOR; SCISSORLIFT OPERATOR; PALLET STACKER OPERATOR; CNC MACHINE (CUTTING AND BENDING); CNC MACHINE (LASER MACHINE); DEFENSIVE DRIVING (PILOT); INJECTION PUMP OPERATOR; POWERED PALLET TRUCK OPERATOR; WINCH MACHINE OPERATOR; HEALTH, SAFETY & ENVIRONMENT (HSE) AWARENESS; BASIC WORK SHOP SAFETY; FILLING MACHINE OPERATOR (HONEY FILLING); HEAT GUN OPERATOR; LINING MACHINE OPERATOR; LIFT ENTRAPMENT OPERATOR; LABELING MACHINE; TRUCK SIDE LOADER OPERATION; PERFUME SMELLING; TEMPORARY WORKS SUPERVISOR; TRUCK MOUNTED ATTUENATER; SPIDER CRANE OPERATIONS; GLASS POLISHING MACHINE OPERATOR; CONTROL OF SUBSTANCES HAZARDOUS TO HEALTH (COSHH).; HOLE WATCHER; CORE CUTTING MACHINE OPERATION; PNEUMATIC TIRE ROLLER OPERATION; TORCH APPLICATOR; CONCRETE SCANNER MACHINE OPERTOR; CORING MACHINE OPERATION; BAND SAW MACHINE OPERATOR; METAL ROLLING MACHINE; LATHE MACHINE OPERATOR; HYDRAULIC PRESS BRAKE MACHINE; GANTRY CRANE OPERATOR; STRADDLE CARRIER OPERATOR; CONCRETE MIXER OPERATOR; THREADING AND GROOVING MACHINE OPERATOR; TAPING MACHINE OPERATOR; SHEET CUTTING MACHINE OPERATOR; NOTCHING MACHINE OPERATOR; CLADDING MACHINE OPERATOR; DRILLING MACHINE OPERATOR; CORNER PUNCHING MACHINE OPERATOR; ALUMINUM CUTTING MACHINE OPERATOR; SEALANT MIXER MACHINE OPERATOR; PLASMA CUTTING MACHINE OPERATOR; DRUM LIFTER OPERATOR; GLASS LIFTER OPERATOR; GOUGING OPERATOR; FLOOR APPLICATOR; CONCRETE MACHINE OPERATOR; PAVER MACHINE OPERATION; ROLLER COMPACTOR OPERATION; OIL FILTERATION MACHINE OPERATOR; CORE DRILLING MACHINE OPERATION; PRESSURE TEST BENCH OPERATOR; GAS WELDING OPERATIONS; BAR CUTTING MACHINE OPERATOR; BAR BENDING MACHINE OPERATOR"
ABCON SAFETY CONSULTANCY LLC,https://tec.gov.ae/en/,abconsafetyconsultancy@gmail.com,97143354633,"Office # 01 Abdul Majeed Pardesi Offices Building, Plot # 416-5613 - Nadd Al Hamar - Dubai.",Healthcare and Awareness Training; Occupational Safety and Firefighting Training
Abdulsalam Almadani Global Education Center L.L.C,https://tec.gov.ae/en/,mol@index.ae,97145208888,"Al Kheeran - Nad Al Hamar Road , Index Holding Building - office number 206",Social and Behavioural Training; Examination Preparation
ABLAZE SAFETY CONSULTANCY L.L.C (Training),https://tec.gov.ae/en/,umair4002323@gmail.com,971552522843,"BURJ NAHAR COMPLEX,M2 FLOOR, BLOCK C2, OFFICE # 409, MUTEENA DIERA,DUBAI","Occupational Safety and Firefighting Training; Safety Awareness in the Entry to  Confined Spaces; Safety Awareness in the Erection of  Scaffolding; Safety Awareness for Scaffolding Inspectors; Safety Awareness for Working at Height; Safety Awareness for Flagmen; Safety Awareness for High-Density Polyethylene Welding; Electrical Safety Awareness; Safety Awareness for Scaffolding Supervisors; Safety Awareness for Forklift Operators; Safety Awareness for Earthmoving Equipment Operators; Safety Awareness for Mobile Crane Operators; Safety Awareness for Tower Crane Operators; Safety Awareness for Bar Bending and Cutting Machine Operators; Safety Awareness for Crawler Crane Operators; Safety Awareness for  Block Cutter Operators; Risk Assessment Training; Safety Awareness for Building Maintenance Unit Operators; Safety Awareness for Lorry Loader Operators; Safety Awareness for Lifting Supervisors; Safety Awareness for Rigging, Slinging and Banks Workers; Safety Awareness for Power Tools and Hand Tools Operators; Safety Awareness for Piling Rig Operators; Safety Awareness for Electric Overhead Traveling Crane Operators; Safety Awareness for Welders; Safety Awareness for Cradle Operators"
ABN GLOBAL L.L.C-FZ,https://tec.gov.ae/en/,MOHAMMED@MEYDANFZ.AE,971503097174,"Office # Business Center 1, M Floor, Building - The Meydan Hotel",
ABODE Training Institute L.L.C,https://tec.gov.ae/en/,abodeinstitute@gmail.com,97145726746,"Office # 607, Building - Centurion Star Tower, 34 Street, Port Saeed, Deira, Dubai",Computer Skills Training; Examination Preparation; Healthcare and Awareness Training
Abstract Worldwide LLC (DMCC branch),https://tec.gov.ae/en/,fab@abstractworldwide.com,97144432600,"Mazaya Business Avenue BB2, Off# 202",Performing Arts Training; Latin Dance; Afro Dance; Ballroom Dance; Balet Dance
Abu Hail Management & Administration Training,https://tec.gov.ae/en/,sanaa@abuhailtraining.ae,97142394334,"Saraya Avenue, Block A Off#208","Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Insurance Training; Legal Training; Management Training; Business and Secretarial Training; Media Production Training; Hospitality and Tourism Training; Agriculture Training; Healthcare and Awareness Training; Occupational Safety and Firefighting Training; Architecture and Design Training; Construction, Mechanical and the Built Environment Skills Training"
Academic Remedial Center Fz-Llc,https://tec.gov.ae/en/,sana.tabet@arceducation.ac,97144225874,"Blook 02, Off 108",Math grade 3; Math Grade 1; Math grade 4; Math grade 5; Math grade 6; Math grade 7; Math grade 8; Math grade 9; Math grade 10; Math grade 11; Math grade 12; Math grade 2; Science  grade 1; Science grade 2; Science grade 3; Science grade 4; Science grade 5; Science grade 6; Science grade 7; Science grade 8; Science grade 9; Science grade 10; Science grade 11; Science grade 12; English grade 1; English grade 2; English grade 3; English grade 4; English grade 5; English grade 6; English grade 7; English grade 8; English grade 9; English grade 10; English grade 11; English grade 12; Arabic grade 1; Arabic grade 2; Arabic grade 3; Arabic grade 4; Arabic grade 5; Arabic grade 6; Arabic grade 7; Arabic grade 8; Arabic grade 9; Arabic grade 10; Arabic grade 11; Arabic grade 12; French grade 1; French grade 2; French grade 3; French grade 4; French grade 5; French grade 6; French grade 7; French grade 8; French grade 9; French grade 10; French grade 11; French grade 12; IT grade 1; IT grade 2; IT grade 3; IT grade 4; IT grade 5; IT grade 6; IT grade 7; IT grade 8; IT grade 9; IT grade 10; IT grade 11; IT grade 12; A level preparation course; O level preparation course; AP subjects preparation course
Academy Of Technical Training Fz Llc,https://tec.gov.ae/en/,att@attdubai.com,97143671888,Block No.13,Occupational Safety and Firefighting Training
Acamind Academy L.L.C,https://tec.gov.ae/en/,admissions@acamind.ae,971508405501,"Office # 303, Building - Malik Kanoo Group LLC",Sales and Marketing Training; Accounting and Finance Training; Legal Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Examination Preparation
Access Hire Middle East L.L.C,https://tec.gov.ae/en/,marc.licha@accesshire.ae,97148841118,?????? 1.2.3.4.5.6 - ??? ???? ????? ?????? ?????? - ???? ??? ???????? 1,Healthcare and Awareness Training; Harness Inspection Course consisting of half day of theoritical session and practical demonstration to inspect the harnesses for safe use; IPAF Loading and Unloading Course consisting of full day theoritical session and practical demonstration to load and unload MEWPs safely; IPAF MEWPS for Managers Course consisting of full day theoritical session and practical demonstration to safely operate MEWPs; IPAF Operator Training Session consisting of 1 day of theoritical session and 1 day of practical demonstration to safely operate MEWPs
Accuver Safety Consultancy L.L.C,https://tec.gov.ae/en/,qm@accuversafety.com,97148812664,"C-45, Industrial area 1","Occupational Safety and Firefighting Training; Construction, Mechanical and the Built Environment Skills Training"
Ace It Training,https://tec.gov.ae/en/,ranjizop@yahoo.com,97143852555,301 - Al Attar Business Centre,Sales and Marketing Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Examination Preparation; Media Production Training; Architecture and Design Training
Achievers Planet Tests Preparation Centre L.L.C,https://tec.gov.ae/en/,saad.salmaan@pw.live,97145470113,"207, Platinum Business Centre, Al Nahda 2",Examination Preparation; Child Skills Development Centre
Achievers Planet Tests Preparation Centre L.L.C (Branch),https://tec.gov.ae/en/,saad.salmaan@pw.live,97143852613,"Ibn Batouta Gate, Off# 901E & 901F",Examination Preparation; Child Skills Development Centre
,,,,,
ACOUP Training Institute,https://tec.gov.ae/en/,denise@acoup.com,97142180500,IBRI House Office M1 -sheikh Zayed Road Al Qoze First,Language Training; Hospitality and Tourism Training; Healthcare and Awareness Training
ACTIIVE TECH NETWORK TRAINING INSTITUTE,https://tec.gov.ae/en/,aruran@atnedu.ae,97142562856,"Office 604, Al Zarouni business center - Sheikh Zayed Rd, Al barsha, Dubai",Educators' Professional Training; Computer Skills Training; Examination Preparation
ACUMEN GLOBAL TRAINING AND DEVELOPMENT,https://tec.gov.ae/en/,dasgupta@acumenglobal.net,97147187101,"OFFICE NO.14,B 264 MOHD. BIN RASHID AL MAKTOUM CHARITABLE AND HUMANITARIAN FOUNDATION",Social and Behavioural Training; Accounting and Finance Training; Management Training; Child Skills Development Centre
ADIUVO EDUCATIONAL SERVICES L.L.C,https://tec.gov.ae/en/,ahmedbilal@adiuvoconsultants.net,971 5 5980144,Showroom 1-11 AIR PORT ROAD SHOW ROOM Port Saeed Dubai UAe,Student Counseling
Admissiongyan Education Consultancy,https://tec.gov.ae/en/,info.dubai@admissiongyan.com,97142983113,"Office 904-93, Dubai National Insurance Building.",
ADR Center Global - Company Benefit_Dubai Branch,https://tec.gov.ae/en/,academy@adrcenter.com,971505287824,Building: ALBAHAR Land Area: Al Khabeesi Plot No.: 546-0 Property No.: 205-307 Land DM No: 128-429,Legal Training; Training and Skills in Mediation (ADR Course)
Advanced Behavioural Learning Environment Fz-Llc,https://tec.gov.ae/en/,hr@able.ae,97145520351,Yacoub and Rashid Al Nafisi,Educators' Professional Training; Social and Behavioural Training; Healthcare and Awareness Training
Advanced Explorers Fz-Llc,https://tec.gov.ae/en/,e.morcos@tamimi.com,97143317161,Block # 06,Management Training; Computer Skills Training
Advanced Future Career Hub - DMCC,https://tec.gov.ae/en/,shweta@mics.ae,97142665528,"Unit No: 1201, Building - Mazaya Business Avenue BB2.",Examination Preparation; Exam preparation for SAT; Exam preparation for GMAT
Advanced Real Estate Services L.L.C - Dubai Branch,https://tec.gov.ae/en/,pro@adres.ae,97125654450,"Office No.228, Bassam Building.",Sales and Marketing Training; Legal Training; Management Training; Business and Secretarial Training; Examination Preparation
Advanced restorative academy,https://tec.gov.ae/en/,Dr.sharifawad87@gmail.com,97145464446,AlQusid industrial 3 - belrasheed Tower B office 902,Management Training; Media Production Training
Advanced Systems,https://tec.gov.ae/en/,hussain.khan@hotmail.com,97143601661,Block 17,Ettfos..
Advocates Law Training Academy,https://tec.gov.ae/en/,Chairman@advocates-group.com,971501025958,Al Safi 1 Bldg. Off# 204-330,"Legal Training; Training Diploma in Administrative Law; Training Diploma in Professional Law; Training Diploma in Legal Preparation in the Insurance Sector; Training Diploma in Legal Preparation in Legal Technology; Training Diploma in Administrative Law for Public Administration; Training Diploma in Professional Law for Professionals; Advocacy Between Body Language and Emotion ""Level One""; The Internet and Artificial Intelligence; Corporate Governance; Preparation of Legal Briefs and Legal Opinions in English; Administrative Investigation ""Level One""; Contract Drafting ""Level One""; The Art of Public Speaking and Persuasion; Skills of an Outstanding Lawyer; Strategic Planning Workshop; Advocacy Between Body Language and Emotion ""Level Two""; Preparation and Drafting of Lawsuits ""Level One""; Contract Drafting in English (Level One); Competition Protection Law Workshop; Administrative Investigation ""Level Two""; Contract Drafting ""Level Two""; Artificial Intelligence Court; Legal Mediation Workshop; Space Law; Drafting Legal Regulations; The Use of Artificial Intelligence in Companies; Judicial Arbitration; Workshop on Methods of Appeals, Orders, and Execution Objections; Preparation of a Legal Trainer ""Level One""; Preparation and Drafting of Lawsuit Documents ""Level Two""; Success Criteria in Law Firm Management; IOT (Internet of Things); Workshop on Employee Rights and Duties; Preparation of a Legal Trainer ""Level Two""; Registration of Lawsuit Documents; Public Speaking and Persuasion; Digital Transformation in English; Cybersecurity; Crisis Management Workshop; Improvisation and Excitement Skills; Criminal Liability for AI-Related Offenses; The Art of Drafting and Formulating Legislation; The Impact of Body Language and Persuasion; Workshop on the Public Procurement Law After Amendments; Transfer of Code Formulas and Intellectual Property Rights; Artificial Intelligence in English; Preparation of Legal Memos and Legal Opinions; Contract Drafting Workshop; Judicial Arbitration (in English); Fashion Law; Skills in Drafting Legal Regulations; Kuwaiti Labor Law Workshop: Theory and Practice"
AEC OVERSEAS EDUCATION L.L.C,https://tec.gov.ae/en/,rups.agr99@gmail.com,040 0 0000000,Office 026-202 Malak Ahmed Mir Hashem Ahmed Al Khoury - Al Wol Commercial Center,
Aesthetic Institute for Advance Beauty,https://tec.gov.ae/en/,Jkhatrine.reyes@gmail.com,97143756011,"Pinnacle building, Office 114",Beauty Care Training; Eyelashes Extension and Skin Care
Afaq Almustaqbal Training,https://tec.gov.ae/en/,info@afaqalmustaqbal.ae,971501829209,"Apricot building, office 1211","Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Insurance Training; Legal Training; Management Training; Business and Secretarial Training; Computer Skills Training; Media Production Training; Hospitality and Tourism Training; Agriculture Training; Garment Design Training; Beauty Care Training; Healthcare and Awareness Training; Occupational Safety and Firefighting Training; Security Training; Architecture and Design Training; Construction, Mechanical and the Built Environment Skills Training"
Afrina Beauty & Hena Center (Branch),https://tec.gov.ae/en/,farahafrina@yahoo.com,97143929885,"JUMERIAH FIRST ,VILLNO 193,",Beauty Care Training; Make up Artistry courses; Hairstyle Courses; Threading; Facial; Waxing; Haircut and Blow dry; Highlighting; Henna Designing; Manicure & Bedicure; Nail Extension; Hair Coloring; SEMI PERMANENT MAKEUP AND MICRO BLADING; Manicure And Pedicure
Afrina Beauty Club,https://tec.gov.ae/en/,shaji@afrina.com,97142649864,al barhsa 1 street 46 office number 1 ???? ?????? ????????,Hair Stylist Training; Beauty Care Training
Agrupacion Educativa de Lengua Española,https://tec.gov.ae/en/,elcoledubai@gmail.com,971561248504,8th Floor. City Avenue Building (Zam Zam Mandi Building) Opposite Pullman Residency Next to Deira City Center.,Language Training; Performing Arts Training
AHMED ABDELSHAFI MANAGEMENT DEVELOPMENT TRANING L.L.C,https://tec.gov.ae/en/,a.abdulshafe@abdulshafe.com,97145763240,"The Burlington Tower, 31 Floor, Office 3111",Educators' Professional Training; Social and Behavioural Training; Legal Training; Management Training; Computer Skills Training; Language Training; Performing Arts Training; Media Production Training; Hospitality and Tourism Training; Garment Design Training
AIdeation Dome Professional & Management Development Training L.L.C,https://tec.gov.ae/en/,maysoon.hameed@AIdeationDome.com,971505364731,"Office # 301-29, Building - Moaza Khalfan Bldg.",Management Training; Organizational Performance Management Professional Skills; TRIZ Applied Techniques Professional Skills Training
Aiden Hub Computer Training L.L.C,https://tec.gov.ae/en/,tannya.jajal@gmail.com,97141169559,"Office No# F-204-12 , Building - B#137 Nafeh And Mohd Belshalat.",Computer Skills Training; AI Edge Bootcamp; AIDEN Future Generation Program
Aist Educational Center L.L.C,https://tec.gov.ae/en/,alina@gilmanov.com,97144324380,"Umm Suqeim 3, Villa 120",Language Training; Performing Arts Training; Child Skills Development Centre
AJYAL EDUCATION SERVICES L.L.C,https://tec.gov.ae/en/,maghribi.samia@hotmail.com,97142595411,"SEDDIQ ALKAZEM BUILDING(133-251), HOR AL ANZ EAST, PLOT NO 1536-0 . BLOCK A -SECOND FLOOR -Office 213",
Akademikka Training Institute,https://tec.gov.ae/en/,info@akademikka.com,554841577,office number 17-701 -Deria BorSaeed owned by Athr Deen Shah Hameed ???????,Sales and Marketing Training; Management Training
Al Alam Al Rabi Institute For Professional Certification L.L.C,https://tec.gov.ae/en/,mafmaf3000@yahoo.com,97142500251,Dubai -Al Rigga Street - Al Rigga Business Center - Office No. 5001,"Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Legal Training; Management Training; Business and Secretarial Training; Hospitality and Tourism Training; Construction, Mechanical and the Built Environment Skills Training"
Al Dhameer Educational Institute-Fze,https://tec.gov.ae/en/,eizazallah@gmail.com,971506994207,,Examination Preparation; Calculus 1 and Calculus 2; English  IELTS
